version,os,downloads,type,created_at
0.07.03,windows,9742,exe,1592167757.0
0.07.03,linux,1087,amd64.snap,1592167757.0
0.06.07,linux,2499,AppImage,1591117833.0
0.06.07,mac,7402,dmg,1591117833.0
0.06.07,windows,8575,exe,1591117833.0
0.06.07,linux,1087,amd64.snap,1591117833.0
0.06.05,linux,1231,AppImage,1590783443.0
0.06.05,mac,3746,dmg,1590783443.0
0.06.05,windows,2499,exe,1590783443.0
0.06.05,linux,397,amd64.snap,1590783443.0
0.06.04,linux,3054,AppImage,1590452076.0
0.06.04,mac,7863,dmg,1590452076.0
0.06.04,windows,4857,exe,1590452076.0
0.06.04,linux,1222,amd64.snap,1590452076.0
