name,downloads
obsidian-functionplot,713
obsidian-note-autocreator,828
local-quotes,647
obsidian-state-switcher,1115
obsidian-media-db-plugin,1039
obsidian-sequence-hotkeys,401
tasks-packrat-plugin,214
excalibrain,12050
obsidian-expand-bullet,362
dbfolder,10745
obsidian-advanced-codeblock,894
booksidian-plugin,571
simple-dice-roller,161
obsidian-camera,540
obsidian-markbase,435
obsidian-user-plugins,207
obsidian-better-internal-link-inserter,599
obsidian-ghost-publish,134
obsidian-timestamp-notes,961
linkify,337
braincache,154
obsidian-share-as-gist,230
code-block-plugin,265
obsidian-google-lookup,1093
obsidian-stack-overflow,158
obsidian-redirect,289
zotero-bridge,302
wielder,149
obsidian-to-notion,793
obsidian-image-gallery,530
obsidian-thumbnails,852
obsidian-table-to-csv-exporter,461
obsidian-task-progress-bar,2564
scroll-speed,129
obsidian-translator,525
obsidian-echarts,398
obsidian-diagrams-net,903
obsidian-weread-plugin,2453
postgresql-obsidian,132
zotero-link,261
obsidian-golinks,106
habit-tracker,335
typing-transformer-obsidian,383
obsidian-list-callouts,2290
obsidian-text-expander-js,844
metadata-menu,2847
obsidian-plugin-time-diff,174
obsidian-trim-whitespace,466
ninja-cursor,416
cmdr,1940
obsidian-attendance,67
OA-file-hider,351
obsidian-sidebar-toggler,89
obsidian-path-finder,242
obsidian-focus-plugin,294
obsidian-file-cooker,395
hard-breaks,165
open-related-url,156
podnotes,764
obsidian-meeting-notes,98
obsidian-plugin-tagged-documents-viewer,255
simple-note-review,148
better-inline-fields,280
no-dupe-leaves,163
obsidian-open-file-by-magic-date,51
obsidian-heading-shifter,272
obsidian-group-snippets,130
